Index	Most often style	Aglomerative Clustering	K-means
0	66	0	1
1	53	3	3
2	51	0	1
3	41	0	1
4	46	0	1
5	47	5	5
6	39	0	1
7	51	0	6
8	51	0	6
9	49	0	1
10	47	4	4
11	51	0	6
12	45	0	1
13	50	0	1
14	38	0	1
15	44	0	1
16	81	2	0
17	52	0	1
18	58	0	1
19	48	0	1
20	51	0	6
21	55	6	1
22	51	0	6
23	47	0	1
24	47	5	5
25	56	6	1
26	81	0	1
27	51	0	1
28	53	3	3
29	52	0	1
30	36	0	1
31	61	2	0
32	81	1	2
33	50	0	1
34	57	0	1
35	47	5	5
36	81	0	1
37	56	6	1
38	47	0	1
39	67	0	1
40	45	0	1
41	50	0	1
42	37	0	1
43	50	0	1
44	63	0	1
45	50	0	1
46	56	0	1
47	51	0	6
48	56	6	1
49	47	5	5
50	56	0	1
51	81	1	2
52	47	5	5
53	54	0	1
54	52	0	1
55	58	0	1
56	47	4	4
57	81	0	1
58	87	0	1
59	54	0	1
60	51	0	6
61	51	0	6
62	50	0	1
63	47	5	5
64	81	0	1
65	56	0	1
66	81	2	0
67	77	0	1
68	56	0	1
69	58	0	1
70	56	0	1
71	39	0	1
72	49	0	1
73	54	0	1
74	56	0	1
75	32	0	1
76	56	0	1
77	19	0	1
78	46	0	1
79	45	0	1
80	36	0	1
81	49	0	1
82	81	0	1
83	68	0	1
84	47	4	4
85	32	0	1
86	49	0	1
87	58	0	1
88	48	0	1
89	38	0	1
90	42	0	1
91	53	0	1
92	76	2	0
93	49	0	1
94	53	3	3
95	81	1	2
96	56	6	1
97	40	0	1
98	53	1	2
99	54	0	1
100	47	1	2
101	56	0	1
102	41	0	1
103	72	0	1
104	79	0	1
105	54	0	1
106	55	0	1
107	81	2	0
108	44	0	1
109	51	0	6
110	53	0	1
111	51	0	1
112	55	2	0
113	46	0	1
114	54	0	1
115	54	0	1
116	51	0	6
117	47	4	4
118	81	0	1
119	54	0	1
120	47	0	1
121	53	0	1
122	47	5	5
123	49	0	1
124	62	0	1
125	39	0	1
126	32	0	1
127	53	0	1
128	39	0	1
129	81	0	1
130	41	0	1
131	56	6	1
132	47	0	1
133	51	0	1
134	53	0	1
135	81	1	2
136	30	0	1
137	45	0	1
138	47	4	4
139	75	1	2
140	50	0	1
141	81	1	2
142	67	1	2
143	51	0	6
144	78	1	2
145	50	0	1
146	62	0	1
147	49	0	1
148	47	5	5
149	52	0	1
150	56	0	1
151	58	0	1
152	76	0	1
153	53	0	1
154	33	0	1
155	56	0	1
156	60	0	1
157	46	0	1
158	48	0	1
159	14	0	1
160	11	0	1
161	56	0	1
162	46	0	1
163	63	0	1
164	57	0	1
165	50	0	1
166	78	2	0
167	53	0	1
168	39	0	1
169	42	0	1
170	51	0	6
171	56	0	1
172	54	0	1
173	43	0	1
174	57	0	1
175	76	0	1
176	47	0	1
177	50	0	1
178	56	0	1
179	55	0	1
180	81	1	2
181	56	0	1
182	49	0	1
183	76	2	0
184	53	0	1
185	49	0	1
186	51	0	6
187	72	0	1
188	49	1	2
189	42	0	1
190	76	0	1
191	49	0	1
192	73	0	1
193	81	1	2
194	47	5	5
195	38	0	1
196	52	0	1
197	81	1	2
198	60	0	1
199	16	0	1
200	50	0	1
201	56	0	1
202	71	0	1
203	47	0	1
204	81	0	1
205	56	6	1
206	53	3	3
207	32	0	1
208	38	0	1
209	52	0	1
210	47	4	4
211	56	6	1
212	38	0	1
213	55	0	1
214	51	0	6
215	36	0	1
216	65	2	0
217	53	0	1
218	77	2	0
219	53	0	1
220	56	0	1
221	33	0	1
222	35	0	1
223	49	0	1
224	35	0	1
225	48	0	1
226	37	0	1
227	60	1	2
228	57	1	2
229	47	5	5
230	32	0	1
231	51	0	1
232	47	5	5
233	53	0	1
234	35	0	1
235	73	1	2
236	53	0	1
237	58	0	1
238	44	0	1
239	81	0	1
240	49	0	1
241	56	6	1
242	49	0	1
243	41	0	1
244	81	1	2
245	50	0	1
246	33	0	1
247	81	1	2
248	72	0	1
249	50	0	1
250	57	0	1
251	56	0	1
252	49	0	1
253	79	0	1
254	47	4	4
255	47	0	1
256	56	6	1
257	30	0	1
258	47	4	4
259	52	0	1
260	53	0	1
261	47	5	5
262	41	0	1
263	49	0	1
264	47	5	5
265	47	5	5
266	56	0	1
267	49	0	1
268	43	0	1
269	81	0	1
270	42	0	1
271	56	0	1
272	81	0	1
273	74	0	1
274	42	0	1
275	56	1	2
276	54	0	1
277	47	4	4
278	78	0	1
279	54	0	1
280	67	1	2
281	47	5	5
282	53	3	3
283	42	0	1
284	57	0	1
285	59	0	1
286	53	0	1
287	50	0	1
288	58	0	1
289	67	0	1
290	56	0	1
291	81	0	1
292	54	0	1
293	80	1	2
294	43	0	1
295	49	0	1
296	72	1	2
297	47	5	5
298	66	0	1
299	53	3	3
300	87	0	1
301	30	0	1
302	53	0	1
303	73	1	2
304	81	0	1
305	72	0	1
306	29	0	1
307	55	0	1
308	55	0	1
309	35	0	1
310	60	1	2
311	81	1	2
312	81	1	2
313	42	0	1
314	53	0	1
315	53	3	3
316	62	1	2
317	42	0	1
318	50	0	1
319	52	0	1
320	47	5	5
321	42	0	1
322	47	5	5
323	77	0	1
324	40	0	1
325	53	3	3
326	81	0	1
327	38	0	1
328	53	0	1
329	53	3	3
330	38	0	1
331	46	0	1
332	65	2	0
333	55	0	1
334	39	0	1
335	56	0	1
336	49	0	1
337	54	0	1
338	47	0	1
339	62	0	1
340	47	5	5
341	80	1	2
342	63	0	1
343	53	0	1
344	45	0	1
345	67	0	1
346	76	0	1
347	43	0	1
348	48	0	1
349	47	4	4
350	55	0	1
351	51	0	6
352	81	0	1
353	59	0	1
354	56	6	1
355	31	0	1
356	47	5	5
357	56	0	1
358	51	0	6
359	81	1	2
360	81	0	1
361	78	0	1
362	62	0	1
363	53	1	2
364	81	1	2
365	51	0	1
366	81	1	2
367	33	0	1
368	37	0	1
369	47	4	4
370	72	0	1
371	48	0	1
372	38	0	1
373	39	0	1
374	50	0	1
375	54	0	1
376	51	0	1
377	55	0	1
378	49	0	1
379	81	1	2
380	53	3	3
381	40	0	1
382	76	1	2
383	81	1	2
384	47	5	5
385	81	0	1
386	56	0	1
387	32	0	1
388	53	3	3
389	65	0	1
390	45	0	1
391	81	0	1
392	48	0	1
393	46	1	2
394	46	0	1
395	53	3	3
396	53	3	3
397	81	1	2
