Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
0	66	4	0	1
1	53	6	2	6
2	51	3	3	5
3	41	3	4	2
4	46	5	5	1
5	47	6	2	6
6	39	3	3	5
7	51	6	2	6
8	51	6	2	6
9	49	3	3	5
10	47	3	3	5
11	51	6	2	6
12	45	3	3	2
13	50	6	2	6
14	38	3	3	5
15	44	3	3	5
16	81	0	1	4
17	52	6	2	6
18	58	4	0	1
19	48	6	2	6
20	51	6	2	6
21	55	3	3	5
22	51	6	2	6
23	47	0	1	4
24	47	6	2	6
25	56	3	3	5
26	81	4	0	0
27	51	3	1	4
28	53	6	2	6
29	52	6	2	6
30	36	0	1	4
31	61	0	1	4
32	81	0	0	0
33	50	0	1	4
34	57	3	3	5
35	47	6	2	6
36	81	0	1	0
37	56	3	3	5
38	47	3	4	2
39	67	3	4	2
40	45	3	4	2
41	50	3	1	4
42	37	3	3	5
43	50	6	2	6
44	63	3	1	2
45	50	6	2	6
46	56	6	2	6
47	51	6	2	6
48	56	3	3	5
49	47	6	2	6
50	56	4	2	1
51	81	0	0	0
52	47	6	2	6
53	54	6	2	6
54	52	6	2	6
55	58	3	4	2
56	47	3	3	5
57	81	3	4	2
58	87	3	1	4
59	54	3	4	2
60	51	6	2	6
61	51	6	2	6
62	50	6	2	6
63	47	6	2	6
64	81	1	6	3
65	56	6	2	6
66	81	0	1	4
67	77	3	4	2
68	56	0	1	0
69	58	4	0	1
70	56	6	2	6
71	39	0	1	4
72	49	3	4	4
73	54	3	1	4
74	56	3	1	4
75	32	3	3	5
76	56	5	5	1
77	19	3	3	5
78	46	3	1	4
79	45	0	1	4
80	36	3	4	2
81	49	3	4	2
82	81	0	6	3
83	68	4	0	1
84	47	3	3	5
85	32	3	1	4
86	49	6	2	6
87	58	3	4	2
88	48	0	1	4
89	38	3	1	4
90	42	5	5	1
91	53	3	4	2
92	76	0	1	3
93	49	5	5	1
94	53	6	2	6
95	81	0	0	0
96	56	3	3	5
97	40	3	1	4
98	53	0	0	0
99	54	6	2	6
100	47	0	0	0
101	56	6	2	6
102	41	3	3	5
103	72	3	1	2
104	79	0	1	0
105	54	3	3	5
106	55	3	4	2
107	81	0	0	3
108	44	3	3	5
109	51	6	2	6
110	53	5	5	1
111	51	0	1	4
112	55	0	1	4
113	46	3	3	5
114	54	4	2	1
115	54	6	2	6
116	51	6	2	6
117	47	3	3	5
118	81	0	6	3
119	54	6	2	6
120	47	3	4	2
121	53	6	2	1
122	47	6	2	6
123	49	6	2	6
124	62	5	5	1
125	39	0	1	0
126	32	3	3	5
127	53	5	5	1
128	39	3	3	5
129	81	4	0	0
130	41	3	1	4
131	56	3	3	5
132	47	3	4	2
133	51	3	3	5
134	53	5	5	1
135	81	0	0	0
136	30	3	4	2
137	45	3	3	5
138	47	3	3	5
139	75	0	0	0
140	50	0	1	4
141	81	0	0	0
142	67	0	0	0
143	51	6	2	6
144	78	0	0	0
145	50	6	2	6
146	62	3	1	2
147	49	0	1	2
148	47	6	2	6
149	52	6	2	6
150	56	6	2	6
